KEY,CHECKCODE
SolComb   1,6
SolComb   2,3
SolComb   3,1
SolComb   4,7
SolComb   5,8
SolComb   6,4
SolComb   7,6
SolComb   8,4
SolComb   9,2
SolComb  10,5
SolComb  11,6
SolComb  12,6
SolComb  13,9
SolComb  14,3
SolComb  15,4
SolComb  16,2
SolComb  17,0
SolComb  18,8
SolComb  19,0
SolComb  20,3
SolComb  21,4
SolComb  22,2
SolComb  23,9
SolComb  24,1
SolComb  25,1
SolComb  26,2
SolComb  27,8
SolComb  28,3
SolComb  29,6
SolComb  30,8
SolComb  31,2
SolComb  32,8
SolComb  33,7
SolComb  34,0
SolComb  35,4
SolComb  36,5
SolComb  37,3
SolComb  38,1
SolComb  39,4
SolComb  40,6
SolComb  41,7
SolComb  42,0
SolComb  43,2
SolComb  44,5
SolComb  45,0
SolComb  46,3
SolComb  47,0
SolComb  48,3
SolComb  49,8
SolComb  50,6
SolComb  51,8
SolComb  52,9
SolComb  53,6
SolComb  54,3
SolComb  55,6
SolComb  56,0
SolComb  57,7
SolComb  58,5
SolComb  59,8
SolComb  60,8
SolComb  61,7
SolComb  62,1
SolComb  63,2
SolComb  64,8
SolComb  65,6
SolComb  66,2
SolComb  67,2
SolComb  68,5
SolComb  69,7
SolComb  70,7
SolComb  71,2
SolComb  72,5
SolComb  73,6
SolComb  74,4
SolComb  75,1
SolComb  76,2
SolComb  77,8
SolComb  78,4
SolComb  79,3
SolComb  80,2
SolComb  81,4
SolComb  82,7
SolComb  83,2
SolComb  84,7
SolComb  85,9
SolComb  86,0
SolComb  87,4
SolComb  88,7
SolComb  89,4
SolComb  90,2
SolComb  91,9
SolComb  92,2
SolComb  93,6
SolComb  94,4
SolComb  95,2
SolComb  96,6
SolComb  97,1
SolComb  98,6
SolComb  99,9
SolComb 100,4
SolComb 101,9
SolComb 102,4
SolComb 103,4
SolComb 104,9
SolComb 105,4
SolComb 106,3
SolComb 107,4
SolComb 108,5
SolComb 109,6
SolComb 110,4
SolComb 111,2
SolComb 112,3
SolComb 113,2
SolComb 114,1
SolComb 115,4
SolComb 116,9
SolComb 117,4
SolComb 118,9
SolComb 119,4
SolComb 120,9
SolComb 121,1
SolComb 122,7
SolComb 123,5
SolComb 124,7
SolComb 125,4
SolComb 126,9
SolComb 127,2
SolComb 128,7
SolComb 129,1
SolComb 130,8
SolComb 131,4
SolComb 132,9
SolComb 133,3
SolComb 134,1
SolComb 135,6
SolComb 136,4
SolComb 137,4
SolComb 138,9
SolComb 139,3
SolComb 140,4
SolComb 141,0
SolComb 142,4
SolComb 143,7
SolComb 144,4
SolComb 145,6
SolComb 146,8
SolComb 147,8
SolComb 148,3
SolComb 149,1
SolComb 150,8
SolComb 151,2
SolComb 152,1
SolComb 153,2
SolComb 154,1
SolComb 155,4
SolComb 156,8
SolComb 157,1
SolComb 158,7
SolComb 159,8
SolComb 160,1
SolComb 161,2
SolComb 162,4
SolComb 163,8
SolComb 164,0
SolComb 165,1
SolComb 166,4
SolComb 167,5
SolComb 168,9
SolComb 169,5
SolComb 170,4
SolComb 171,1
SolComb 172,7
SolComb 173,4
SolComb 174,6
SolComb 175,7
SolComb 176,3
SolComb 177,4
SolComb 178,3
SolComb 179,0
SolComb 180,7
SolComb 181,2
SolComb 182,0
SolComb 183,6
SolComb 184,4
SolComb 185,1
SolComb 186,1
SolComb 187,3
SolComb 188,1
SolComb 189,4
SolComb 190,4
SolComb 191,1
SolComb 192,5
SolComb 193,0
SolComb 194,8
SolComb 195,6
SolComb 196,9
SolComb 197,6
SolComb 198,6
SolComb 199,2
SolComb 200,3
