KEY,CHECKCODE
NullBasis   1,0
NullBasis   2,6
NullBasis   3,0
NullBasis   4,9
NullBasis   5,3
NullBasis   6,1
NullBasis   7,0
NullBasis   8,4
NullBasis   9,1
NullBasis  10,3
NullBasis  11,6
NullBasis  12,3
NullBasis  13,5
NullBasis  14,2
NullBasis  15,8
NullBasis  16,1
NullBasis  17,8
NullBasis  18,2
NullBasis  19,8
NullBasis  20,8
NullBasis  21,9
NullBasis  22,5
NullBasis  23,6
NullBasis  24,4
NullBasis  25,6
NullBasis  26,4
NullBasis  27,9
NullBasis  28,4
NullBasis  29,3
NullBasis  30,4
NullBasis  31,6
NullBasis  32,3
NullBasis  33,0
NullBasis  34,0
NullBasis  35,4
NullBasis  36,3
NullBasis  37,5
NullBasis  38,2
NullBasis  39,3
NullBasis  40,8
NullBasis  41,0
NullBasis  42,6
NullBasis  43,9
NullBasis  44,1
NullBasis  45,1
NullBasis  46,0
NullBasis  47,2
NullBasis  48,1
NullBasis  49,5
NullBasis  50,2
NullBasis  51,8
NullBasis  52,6
NullBasis  53,9
NullBasis  54,0
NullBasis  55,1
NullBasis  56,0
NullBasis  57,0
NullBasis  58,4
NullBasis  59,1
NullBasis  60,4
NullBasis  61,0
NullBasis  62,6
NullBasis  63,3
NullBasis  64,7
NullBasis  65,8
NullBasis  66,3
NullBasis  67,9
NullBasis  68,6
NullBasis  69,5
NullBasis  70,1
NullBasis  71,5
NullBasis  72,6
NullBasis  73,1
NullBasis  74,1
NullBasis  75,3
NullBasis  76,6
NullBasis  77,4
NullBasis  78,5
NullBasis  79,6
NullBasis  80,0
NullBasis  81,1
NullBasis  82,6
NullBasis  83,7
NullBasis  84,6
NullBasis  85,8
NullBasis  86,7
NullBasis  87,4
NullBasis  88,4
NullBasis  89,2
NullBasis  90,4
NullBasis  91,9
NullBasis  92,9
NullBasis  93,1
NullBasis  94,4
NullBasis  95,1
NullBasis  96,7
NullBasis  97,9
NullBasis  98,7
NullBasis  99,8
NullBasis 100,9
NullBasis 101,4
NullBasis 102,4
NullBasis 103,1
NullBasis 104,7
NullBasis 105,3
NullBasis 106,6
NullBasis 107,8
NullBasis 108,9
NullBasis 109,5
NullBasis 110,2
NullBasis 111,4
NullBasis 112,9
NullBasis 113,8
NullBasis 114,8
NullBasis 115,5
NullBasis 116,0
NullBasis 117,3
NullBasis 118,5
NullBasis 119,5
NullBasis 120,4
NullBasis 121,5
NullBasis 122,8
NullBasis 123,0
NullBasis 124,0
NullBasis 125,8
NullBasis 126,9
NullBasis 127,5
NullBasis 128,4
NullBasis 129,0
NullBasis 130,5
NullBasis 131,0
NullBasis 132,2
NullBasis 133,5
NullBasis 134,4
NullBasis 135,0
NullBasis 136,9
NullBasis 137,8
NullBasis 138,5
NullBasis 139,6
NullBasis 140,5
NullBasis 141,2
NullBasis 142,9
NullBasis 143,6
NullBasis 144,2
NullBasis 145,6
NullBasis 146,5
NullBasis 147,7
NullBasis 148,0
NullBasis 149,9
NullBasis 150,4
NullBasis 151,6
NullBasis 152,5
NullBasis 153,4
NullBasis 154,3
NullBasis 155,2
NullBasis 156,6
NullBasis 157,4
NullBasis 158,6
NullBasis 159,9
NullBasis 160,2
NullBasis 161,0
NullBasis 162,0
NullBasis 163,1
NullBasis 164,3
NullBasis 165,1
NullBasis 166,7
NullBasis 167,9
NullBasis 168,2
NullBasis 169,7
NullBasis 170,0
NullBasis 171,0
NullBasis 172,4
NullBasis 173,7
NullBasis 174,2
NullBasis 175,7
NullBasis 176,0
NullBasis 177,0
NullBasis 178,7
NullBasis 179,7
NullBasis 180,3
NullBasis 181,5
NullBasis 182,4
NullBasis 183,9
NullBasis 184,8
NullBasis 185,8
NullBasis 186,2
NullBasis 187,9
NullBasis 188,4
NullBasis 189,4
NullBasis 190,7
NullBasis 191,8
NullBasis 192,6
NullBasis 193,3
NullBasis 194,5
NullBasis 195,2
NullBasis 196,6
NullBasis 197,9
NullBasis 198,5
NullBasis 199,1
NullBasis 200,8
